prompt,completion
say,"一 (one/line radical) + 三 (three) + 口 (mouth/small box radical)
★★★★★
7 strokes
Onyomi
GEN	
Mnemonic
He used his mouth to say it 4 times already! If he says it AGAIN, I swear I'll stomp that ass.

Kunyomi
( と ) い＊う	to say
★★★★★
Jukugo
言葉ことば	
any word ★★★★★ FP
言 (say) + 葉 (leaf) = 言葉 (any word)

ANY word - unlike the related term 単語（たんご）、　言葉 can refer to compound words, or onomonopoeia. Also 言葉 can mean ""way of speaking."" There are expressions like ""watch what you say!"" that use 言葉 this way: 言葉使い が丁寧 (her way of speaking is very polite!) or 言葉大切につかいましょう （let's be careful how we speak!)

助言じょげん	
advice ★★★☆☆
助 (save) + 言 (say) = 助言 (advice)

言語の壁げんごのかべ	
the language barrier ★★★☆☆ NEO
言 (say) + 語 (language) + 壁 (wall) = 言語の壁 (the language barrier )

片言かたこと	
broken english / Japanese ★★☆☆☆ KUNKUNFP
片 (fragment) + 言 (say) = 片言 (broken english / Japanese)

we say ""He speaks broken English"".Japanese say, ""He speaks katakoto nihongo.""

言葉遣いことばづかい	
one's choice of words ★★☆☆☆ KANA
言 (say) + 葉 (leaf) + 遣 (apply) = 言葉遣い (one's choice of words)"
below,"Onyomi
GE, KA	
Mnemonic
The GAY fella was below your CAR, cutting your brakes (FYI - you're Dr. Laura).

Kunyomi
くだ＊ さい	please (formal spelling only) NPKANA
★★★☆☆
した	below
★★★★★
( を ) さ＊げる	I lower it 1/2 KANA
★★★☆☆
( が ) くだ＊る	it gets lowered
★★☆☆☆
Jukugo
地下鉄ちかてつ	
subway ★★★★☆
地 (area) + 下 (below) + 鉄 (iron) = 地下鉄 (subway)

ＸＸＸ が　 下手へた	
untalented / poor ★★★★☆ FP
下 (below) + 手 (hand) = 下手 (untalented / poor)

XXX is untalented, poorly performed, or poorly made.

下痢げり	
diarrhea ★☆☆☆☆
下 (below) + 痢 (diarrhea) = 下痢 (diarrhea )"
un,"下 (below) + 一 (one/line radical)
★★★★★
4 strokes
BETAPRE
Onyomi
FU	
as in, ""Doing meth is FUcking unlucky, and really FUcking unwise. ""

Mnemonic
below (下) + one stroke. You can think of 不運 (unlucky) or 不平等 (unfair) as being below or less than lucky or fair.

Jukugo
不思議ふしぎ	
mystery ★★★★★
不 (un) + 思 (think) + 議 (discussion) = 不思議 (mystery)

a mystery or unexplainable thing. BOOBOO:NOT a mystery like Sherlock Holmes or ""Colonel Mustard, in the drawing room, with the double-headed dildo."" A mystery like how fat Americans are, or why Sting is famous. That's a fushigi.

不安ふあん な	
unease ★★★★☆
不 (un) + 安 (cheap / safe) = 不安 (unease)

不便ふべん な	
inconvenient ★★★★☆
不 (un) + 便 (convenient　/ poop) = 不便 (inconvenient)

不足ふそく	
shortage of ★★★★☆ NP
不 (un) + 足 (foot/ be enough) = 不足 (shortage of)

To not have enough of a physical thing (money, time, nurses, teachers.) Also implies that there is a specific amount that is required, For example -犬不足 (a dog shortage). There's no particle or verb needed.

不倫ふりん	
affair ★★☆☆☆
不 (un) + 倫 (principles) = 不倫 (affair)

an affair - cheating"
no,"Onyomi
HI	
HE said no, when I asked if he'd get a tattoo of me and him holding hands naked.

Mnemonic
The mouth is un-happy so it says no.

Kunyomi
いな	'No'. Usually used by older people. Or pretentious authors, who contradict themselves for rhetorical effect: 'She was a proper woman, No, wait, perhaps I should rather say she was the kind of woman who wanted to be seen as proper, A-ha-ha, I am so clever.'
★★☆☆☆
Jukugo
否定形ひていけい	
a negative sentence ★★☆☆☆
否定 (a formal word for 'to deny' (the politician denied the allegations)) + 形 (form) = 否定形 (a negative sentence)

a negative sentence. 'He doesn't , we don't, I can not,' are examples of English negatives. ひていけい is a good word to know if you want to ask your friends, 'How do you use this word in the negative?'

否定ひてい する	
a formal word for 'to deny' (the politician denied the allegations) ★★☆☆☆ NP
否 (no) + 定 (plan) = 否定 (a formal word for 'to deny' (the politician denied the allegations))

拒否きょひ する	
refuse!!!! ★★☆☆☆ ABU
拒 (repel) + 否 (no) = 拒否 (refuse!!!!)

absolute refusal- unlike 拒む (こばむ）,　拒否 is always verbal - an exit line. Like if you tell a guy 'no thanks' 10 times and he won't go away, you use 拒否. As in, '私がきょひした。’

Oh no you di'int!"
ten,"十 ten
★★★★★
2 strokes
PKCOUNTER
Onyomi
JUU	
JEWS gave us the ten commandments, the foundation of Western morality.

Mnemonic
Kunyomi
とう	(also　pronounced just と）meaning, 'ten things'. Yes, it has two pronunciations! JERK
★★★★★
Jukugo
十円じゅうえん	
ten yen. ★★★★★
十 (ten) + 円 (yen/circle) = 十円 (ten yen.)

十月じゅうがつ	
October ★★★★★ FPKANA
十 (ten) + 月 (moon) = 十月 (October)

十日とおか	
the tenth day of the month ★★★★☆ FP
十 (ten) + 日 (sun, day) = 十日 (the tenth day of the month )

十ヶ月間じゅうかげつかん	
ten months' time ★★★☆☆
十 (ten) + 月 (moon) + 間 (a period of time) = 十ヶ月間 (ten months' time)

about that little ""ヶ"" thing - it's pronounced KA, and means ""number of months' time"". If you take it out, you'd be left with ""十月"", meaning October.

It's the difference between ""It's October, the tenth month of the solar year"" and ""I haven't seen your mom's Ricky Martin sex-tape youtube in a whole ten months!""

二十歳はたち	
twenty years old ★☆☆☆☆ CCWFP
二 (two) + 十 (ten) + 歳 (years old) = 二十歳 (twenty years old)

twenty years old - traditionally the age at which Japanese turn into adults and get presents, kimono, etc. So, naturally it has its own special pronunciation that doesn't make any sense, since it SHOULD be called にじゅうさい。 Whatever. Tradition.

十戒じっかい	
the ten commandments. ☆☆☆☆☆ FP
十 (ten) + 戒 (admonish / commandment) = 十戒 (the ten commandments.)"
old,"古 old
十 (ten) + 口 (mouth/small box radical)
★★★★★
5 strokes
PN
Onyomi
KO	
The KOdomo (子) will grow old someday with ten dentures in her mouth.

Mnemonic
Kunyomi
ふる*い	old
★★★★★
Jukugo
中古ちゅうこ のXXX	
used XXX ★★★☆☆
中 (middle) + 古 (old) = 中古 (used XXX )

used XXX (books, cars, your dad's condoms)

古着ふるぎ	
used clothes ★★☆☆☆ KUNKUN
古 (old) + 着 (wear / arrive) = 古着 (used clothes)

used clothes - a used clothes store is a 古着屋（ふるぎや）

古典的こてんてき な	
classical ☆☆☆☆☆
古 (old) + 典 (classic) + 的 (motivation / '-al') = 古典的 (classical)

classical, like Shakespeare or Bach or Shunga something.

Lookalikes
Meaning	Hint	Radical
早	early	SUN	日
古	old	NO SUN	
里	village	RICE FIELD	田
The SUN comes up early, but if there is NO SUN, the day is old.
The village is next to a RICE FIELD.
"
dream come true,"叶 dream come true
口 (mouth/small box radical) + 十 (ten)
★★☆☆☆
5 strokes
SOLO
Onyomi
Mnemonic
Please grant my wish to have ten mouths. (That would be awesome. 3 for Cheetos, and 4 for Pringles, and another 3 left over to swallow just fistfuls of MSG and benzene. )

Kunyomi
( が ) かな＊う	one's dream comes true. Usually used like this: 夢が叶う-ゆめがかなう： my dream comes true!
★★☆☆☆
Lookalikes
Meaning	Hint	Radical
叶	dream come true	TEN	十
吐	puke	GROUND	土
If I got TEN wishes, I would wish to puke on the GROUND.(that would be like around #8. the first couple would be world peace or something)"
measure,"言 (say) + 十 (ten)
★★★★☆
9 strokes
DUPE
Onyomi
KEI	
it's OKAYYY to measure your pubic hair.

Mnemonic
Measure SATAN!!!!! (say + ten) He's just huge, dude!!

Kunyomi
( xxx ) けい	suffix meaning, the total xxx. Total hours, total pounds, total hogs-heads, etc. SUFFIX
★☆☆☆☆
はか*る	measure temprature, height, depth. If you're measuring a chair or your mom's stretch marks, use this one.
★☆☆☆☆
Jukugo
時計とけい	
watch or clock ★★★★★ FP
時 (time) + 計 (measure) = 時計 (watch or clock )

合計ごうけい	
total ★★★☆☆
合 (to suit) + 計 (measure) = 合計 (total)

計画けいかく	
plan ★★★☆☆ FP
計 (measure) + 画 (a drawing) = 計画 (plan)

Pretty close to 予定　（よてい） in meaning, but perhaps more elaborate - you'd use 計画 to say ""I have a plan to get rich!"" or to say ""I planned out our whole vacation to 3 countries."" . . but you wouldn't use 予定。

余計よけい な	
uncalled-for ★★★☆☆
余 (excess) + 計 (measure) = 余計 (uncalled-for)

excessive, uncalled-for, and unnecessary (usually used in the context of 余計なお世話だよ！　（よけいなおせわだよ！）: 'Mind your own business!')

計算けいさん する	
to calculate ★★☆☆☆
計 (measure) + 算 (calculate) = 計算 (to calculate)"
heel,"(right radical)
PK
Because it looks like a heel , and also because it's the katakana ""HI""! (ヒ）"
seven," (heel) + 一 (one/line radical)
★★★★★
2 strokes
PK
'4' and '7' are numbers that don't follow the usual pronunciation rules. When counting time or months, usually one uses the KUNs, but with 4 and 7 you use the ONs.
Onyomi
SHICHI	
SHE CHEATS seven times.

Mnemonic
Let's call the 'one' radical a dirty needle, for reasons which shall become clear.

You can tell the difference between heel and seven with the following mnemonic:

Seven heels get pierced with ONE dirty needle.

Kunyomi
なな	seven
★★★★★
なな＊つ	seven things
★★★★☆
Jukugo
七月しちがつ	
July ★★★★★ FPKANA
七 (seven) + 月 (moon) = 七月 (July )

七時しちじ	
7 o'clock ★★★★★ FP
七 (seven) + 時 (time) = 七時 (7 o'clock)

七千円ななせんえん	
７，０００ yen. ★★★★★
七 (seven) + 千 (thousand) + 円 (yen/circle) = 七千円 (７，０００ yen.)

七日なのか	
the seventh day of the month ★★★★☆ FP
七 (seven) + 日 (sun, day) = 七日 (the seventh day of the month)

七面鳥しちめんちょう	
turkey ☆☆☆☆☆
七 (seven) + 面 (front surface / face) + 鳥 (bird) = 七面鳥 (turkey )

Lookalikes
Meaning	Hint	Radical
七	seven	ONE DIRTY NEEDLE	
Seven heels get pierced with ONE DIRTY NEEDLE."
compare,"Onyomi
HI	
Mnemonic
HE's comparing the two heels , to see which is better.

Kunyomi
くら*べる	compare
★★★★☆
Jukugo
比較的ひかくてき	
comparatively ★★★☆☆ NP
比較 (compare) + 的 (motivation / '-al') = 比較的 (comparatively)

comparatively (BOOBOO: you DON'T use a 'na' at the end, for some reason)

比較ひかく する	
compare ★★☆☆☆ NP
比 (compare) + 較 (evaluate) = 比較 (compare)

a more formal word for 'compare': You'd 比べる AC/DC albums to see which one rocked the most, but you'd 比較 the GDP of developing nations.

比率ひりつ	
ratio ★☆☆☆☆
比 (compare) + 率 (ratio) = 比率 (ratio)"
scold,"口 (mouth/small box radical) +  (heel)
★★☆☆☆
5 strokes
SOLO
Onyomi
Mnemonic
Mom's mouth scolded her for wearing high heels, and she 's only 12.

Kunyomi
しか*る	to scold"
"sun, day","口 (mouth/small box radical)
★★★★★
4 strokes
PKSYMBOLICCOUNTERCOCK
As a radical, it usually means ""bright"".
COCK: This kanji has not one but two ON-yomis, and as if that wasn't enough, most of the jukugo don't use either of them! This is by far the worst kanji when it comes to not following the rules of pronunciation. Luckily, most of the FP words you'll use every day, right from your first day in Noob Nihongo, so you'll learn 'em without even trying.

Also, it means ""Japan"" - a sort of contraction of 日本.

Onyomi
NICHI, JITSU	
Frederich NIETSZHIE spends every day doing ju JITSU.

(all ""Hiyahh!!!! Ubermench takedown!!"" Philosophy was just a side-job; something he did to finance his bid for Ultimate Fightin' Champion.)

Mnemonic
You shouldn't need a damn story for this, but I am drunk so here goes: Two mouths. One yelling, ""Don't look at the sun you idiot."" and the other yelling, ""Dood it will be awesome, You can see sun men all hanging out in there smoking sun -reefer, I swear to god, man, this dude told me it, go ahead.""

Kunyomi
ひ	a day
★★★★★
Jukugo
昨日きのう	
yesterday ★★★★★ FP
昨 (yesterday) + 日 (sun, day) = 昨日 (yesterday)

今日きょう	
today ★★★★★ FP
今 (now) + 日 (sun, day) = 今日 (today)

明日あした	
tomorrow ★★★★★ FP
明 (bright) + 日 (sun, day) = 明日 (tomorrow)

ｘｘｘ 曜日ようび	
day of week ★★★★★ KUN ONCOUNTERSUF
曜 (day of the week) + 日 (sun, day) = 曜日 (day of week)

Day of the week (BOOBOO； in practice, most Japanese omit the final '日'.So, 木曜日(もくようび） becomes simply 木曜 (もくよう）)

日米にちべい	
east-and-west ★☆☆☆☆
日 (sun, day) + 米 (rice / America) = 日米 (east-and-west)

add 日, (which is short for 日本), to 米, (which somehow means ""America""), and you have a word which means ""East-and-West"" or ""East meets West."" Usually seen on cultural exchange-related things."
the gist,"This is a COCK because the overwhelming majority of words which use 旨 mean ""the gist of,"" but you'll never use those words! The only time you'll see it is in the context of 旨い（うまい）、which has nothing to do with gists!
Onyomi
SHI	
Mnemonic
SHE can't really put her heels over the sun, but the gist is she's tall!

Kunyomi
うま＊い	this is a really good word, meaning 'delicious!' or 'well done!' 1/2 KANA
★★★★☆
( XXXの ) むね	２ meanings： 1 -write to someone to the effect that xxx. 　
２： the main purpose or goal. Not so useful, but gives you a good idea of why this is called 'the gist.'"
insect,"日 (sun, day) + 比 (compare)
★☆☆☆☆
8 strokes
BETA
The normal word for insect is 虫　（むし）. 昆 is a more formal, scientific term and is not used very much.
Onyomi
KON	
as in, 'The insects are eating a pine CONE'

Mnemonic
Although the bottom radical is ""compare,"" it might be easier to think of it as two heels. Thus,
The sun shines down on the many heels of multi-legged insects scurrying around

Jukugo
昆虫こんちゅう	
insect ★☆☆☆☆ NP
昆 (insect) + 虫 (insizzect) = 昆虫 (insect)

insect, (a more scientific term than 'むし')

Lookalikes
Meaning	Hint	Radical
皆	everyone	WHITE	白
昆	insect	SUN	陽
質	quality	BAMBOO	竹
Everyone's heels trample on WHITE people,

but the SUN shines on insects that crawl on the high QUALITY bamboo.
"
chant,"口 (mouth/small box radical) + 日 (sun, day)
★★☆☆☆
11 strokes
SOLO
Onyomi
Mnemonic
The monk's mouth is chanting a hymn to SHOW the infidels his belief that there are two suns;one which illuminates the believers and one which burns the unclean!!! AIIIEEE THE END IS NIGH!!!

Kunyomi
とな*える	bunch of people chanting or reciting in unison - also, one person muttering something over and over in a creepy way."
crystal,"日 (sun, day)
★☆☆☆☆
12 strokes
PNSIDEKICK
Onyomi
SHOU	
Mnemonic
SHOW me a crystal as bright as 3 suns put together!!!

Jukugo
液晶えきしょう	
liquid crystal display ★☆☆☆☆ NEO
液 (liquid) + 晶 (crystal) = 液晶 (liquid crystal display)
"
former,"一 (one/line radical) + 日 (sun, day)
★☆☆☆☆
5 strokes
BETAPRE
PREFIX meaning 'former.' It can be used with lots of different words, but unfortunately none of them are really super-handy. For example . . .
Onyomi
KYUU	
Mnemonic
One day I will re-unite with my CUTE former girlfriend.

Jukugo
旧姓きゅうせい	
maiden name ★☆☆☆☆
旧 (former) + 姓 (family name) = 旧姓 (maiden name)

復旧ふっきゅう する	
to resume service ☆☆☆☆☆
復 (return or re-do) + 旧 (former) = 復旧 (to resume service)

Used In
児 陥
Synonyms
former
元    旧    従来の    基   
out of date, old-fashioned
時代遅れの    古くさい    古めかしい    旧式の    廃れる   "
early,"日 (sun, day) + 十 (ten)
★★★★☆
6 strokes
JERK DUPE PN
Onyomi
SOU	
Mnemonic
You have to get up SO early tomorrow, ten minutes before sunrise.

Kunyomi
はや*い	early, as in, 'get up early.'　BOOBOO: this doesn't mean fast! that's the other hayai (速い）
★★★★★
( を ) はや＊める	to reschedule something (an appointment, a deadline) earlier
★☆☆☆☆
( が ) はや＊まる	to be moved or rescheduled earlier in time　－to be done in a hasty or premature way.
★☆☆☆☆
Jukugo
素早いすばやい	
agility ★★★☆☆
素 (element) + 早 (early) = 素早い (agility)

physical speed or agility, but without any advanced kung-fu techniques. A fast bird or lizard. Doing a simple task at the office, but very speedily.

早速さっそく xxxしろ！	
do XXX immediately! ★★☆☆☆ FP1/2 KANA
早 (early) + 速 (fast) = 早速 (do XXX immediately!)

Lookalikes
Meaning	Hint	Radical
早	early	SUN	日
古	old	NO SUN	
里	village	RICE FIELD	田
The SUN comes up early, but if there is NO SUN, the day is old.
The village is next to a RICE FIELD.

Meaning	Hint	Radical
早	early	SUN	陽
巣	habitat	TREE	木
単	merely	BABY BIRDS	
The SUN rises early.

The habitat is in a TREE.

Merely has NO TREE because it is MERELY some baby birds."
danna (husband),"日 (sun, day) + 一 (one/line radical)
★★☆☆☆
5 strokes
BETA
Onyomi
TAN	
Mnemonic
Let's think of the line as a prone body. My danna is useless! He just lies down all day under the sun , working on his TAN.

Jukugo
旦那だんな	
husband ★★☆☆☆ 1/2 KANA

the more informal, spoken word for husband (your own or other peoples') - (BOOBOO: if you're talking about someone else's man, say お旦那さん (more polite!))

一旦いったん xxxすると	
once you've started to do xxx . . . ★☆☆☆☆ KANA
一 (one) + 旦 (danna (husband)) = 一旦 (once you've started to do xxx . . .)

once you've started to do xxx . . . (i.e. once you've gotten married, you can't get divorced! once you've promised, you can't go back on it!)"
